Manufacturer,Model,is_premium
MERCEDES-BENZ,GL 500,1
MERCEDES-BENZ,GL 550,1
MERCEDES-BENZ,GL 63 AMG,1
MERCEDES-BENZ,GLA 200,1
MERCEDES-BENZ,GLA 250,1
MERCEDES-BENZ,GLC 250,1
MERCEDES-BENZ,GLC 300,1
MERCEDES-BENZ,GLC 300 GLC coupe,1
MERCEDES-BENZ,GLE 350,1
MERCEDES-BENZ,GLE 400,1
MERCEDES-BENZ,GLE 400 A M G,1
MERCEDES-BENZ,"GLE 400 Coupe, AMG Kit",1
MERCEDES-BENZ,GLE 43 AMG,1
MERCEDES-BENZ,GLE 450,1
MERCEDES-BENZ,GLE 63 AMG,1
MERCEDES-BENZ,GLK 250,1
MERCEDES-BENZ,GLK 300,1
MERCEDES-BENZ,GLK 350,1
MERCEDES-BENZ,GLS 450,1
MERCEDES-BENZ,GLS 63 AMG,1
MERCEDES-BENZ,ML 250,1
MERCEDES-BENZ,ML 270,1
MERCEDES-BENZ,ML 270 CDI,1
MERCEDES-BENZ,ML 280,1
MERCEDES-BENZ,ML 280 სასწრაფოდ,1
MERCEDES-BENZ,ML 300,1
MERCEDES-BENZ,ML 320,1
MERCEDES-BENZ,ML 320 AMG,1
MERCEDES-BENZ,ML 320 cdi,1
MERCEDES-BENZ,ML 350,1
MERCEDES-BENZ,ML 350 3.7,1
MERCEDES-BENZ,ML 350 370,1
MERCEDES-BENZ,ML 350 4 MATIC,1
MERCEDES-BENZ,ML 350 4matic,1
MERCEDES-BENZ,ML 350 BLUETEC,1
MERCEDES-BENZ,ML 350 ML350,1
MERCEDES-BENZ,ML 350 SPECIAL EDITION,1
MERCEDES-BENZ,ML 350 sport,1
MERCEDES-BENZ,ML 500,1
MERCEDES-BENZ,ML 500 AMG,1
MERCEDES-BENZ,ML 55 AMG,1
MERCEDES-BENZ,ML 550,1
MERCEDES-BENZ,ML 550 4.7,1
MERCEDES-BENZ,ML 63 AMG,1
MERCEDES-BENZ,R 320,1
MERCEDES-BENZ,R 350,1
MERCEDES-BENZ,R 350 BLUETEC,1
MERCEDES-BENZ,S 320,1
MERCEDES-BENZ,S 350,1
MERCEDES-BENZ,S 350 CDI 320,1
MERCEDES-BENZ,S 350 Longia,1
MERCEDES-BENZ,S 350 W2222,1
MERCEDES-BENZ,S 400,1
MERCEDES-BENZ,S 420,1
MERCEDES-BENZ,S 430,1
MERCEDES-BENZ,S 430 4.3,1
MERCEDES-BENZ,S 500,1
MERCEDES-BENZ,S 500 67,1
MERCEDES-BENZ,S 500 long,1
MERCEDES-BENZ,S 55 5.5,1
MERCEDES-BENZ,S 550,1
MERCEDES-BENZ,S 550 LONG,1
MERCEDES-BENZ,S 550 ჰიბრიდი,1
MERCEDES-BENZ,S 600,1
MERCEDES-BENZ,S 63 AMG,1
MERCEDES-BENZ,SL 55 AMG,1
MERCEDES-BENZ,SLK 230,1
MERCEDES-BENZ,SLK 32 AMG,1
MERCEDES-BENZ,SLK 350 300,1
MERCEDES-BENZ,Smart,1
MERCEDES-BENZ,Smart Fortwo,1
MERCEDES-BENZ,Sprinter,1
MERCEDES-BENZ,Sprinter 308 CDI,1
MERCEDES-BENZ,Sprinter 311,1
MERCEDES-BENZ,Sprinter 313,1
MERCEDES-BENZ,Sprinter 313CDI,1
MERCEDES-BENZ,Sprinter 314,1
MERCEDES-BENZ,Sprinter 315CDI,1
MERCEDES-BENZ,Sprinter 315CDI-XL,1
MERCEDES-BENZ,Sprinter 316,1
MERCEDES-BENZ,Sprinter 316 CDI,1
MERCEDES-BENZ,Sprinter 411,1
MERCEDES-BENZ,Sprinter 516,1
MERCEDES-BENZ,Sprinter EURO4,1
MERCEDES-BENZ,Sprinter MAX,1
MERCEDES-BENZ,Sprinter Maxi-ს Max,1
MERCEDES-BENZ,Sprinter VAN,1
MERCEDES-BENZ,Sprinter VIP CLASS,1
MERCEDES-BENZ,Sprinter სატვირთო,1
MERCEDES-BENZ,V 230,1
MERCEDES-BENZ,Vaneo,1
MERCEDES-BENZ,Viano,1
MERCEDES-BENZ,Viano Ambiente,1
MERCEDES-BENZ,Vito,1
MERCEDES-BENZ,Vito 110d,1
MERCEDES-BENZ,Vito 111,1
MERCEDES-BENZ,Vito 111 CDI,1
MERCEDES-BENZ,Vito 113,1
MERCEDES-BENZ,Vito 115,1
MERCEDES-BENZ,Vito 115 CDI,1
MERCEDES-BENZ,Vito 2.2,1
MERCEDES-BENZ,Vito Exstralong,1
MERCEDES-BENZ,Vito Extra Long,1
MERCEDES-BENZ,Vito Extralong,1
MERCEDES-BENZ,Vito long115,1
MERCEDES-BENZ,X 250,1
MERCEDES-BENZ,X 250 ევროპული,1
